"room_type","accommodates","bathrooms","bedrooms","beds","price","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","city"
"Entire home/apt",5,1,3,4,80,2,30,11,96,10,10,10,10,8,9,"malaga"
"Entire home/apt",4,1,1,2,500,1,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",2,1,1,2,60,2,15,15,96,10,9,10,10,9,9,"mallorca"
"Private room",2,1,1,1,48,1,12,173,91,9,10,9,9,9,9,"barcelona"
"Entire home/apt",3,1,1,2,99,6,31,0,92,9,9,10,10,10,9,"girona"
"Private room",2,1,1,1,25,2,1125,221,96,10,10,10,10,10,10,"madrid"
"Entire home/apt",6,2,3,5,103,1,1125,3,73,8,7,9,7,8,7,"mallorca"
"Entire home/apt",6,1,3,4,100,4,28,47,100,10,10,10,10,10,10,"menorca"
"Entire home/apt",5,1,1,3,33,3,380,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",7,2,3,6,99,2,60,4,85,9,10,10,9,10,9,"malaga"
"Entire home/apt",6,2,2,3,40,1,1125,4,90,10,10,10,10,10,9,"madrid"
"Entire home/apt",4,1,2,2,81,2,1125,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",4,2,2,3,130,3,1125,0,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",6,2,2,3,86,1,1125,51,93,10,10,10,9,10,9,"madrid"
"Entire home/apt",4,1,2,3,90,3,30,137,98,10,10,10,10,10,10,"valencia"
"Entire home/apt",4,1,2,2,234,1,1125,0,92,9,9,10,10,10,9,"valencia"
"Entire home/apt",4,2,1,2,55,32,1125,1,80,10,10,10,10,10,10,"barcelona"
"Entire home/apt",3,1,1,3,59,1,1125,0,92,9,9,10,10,10,9,"girona"
"Private room",2,1,1,1,13,1,30,66,96,10,9,10,10,9,9,"barcelona"
"Private room",2,1,1,1,350,2,50,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",4,1,1,2,139,1,1125,8,85,9,9,9,10,8,8,"madrid"
"Entire home/apt",5,1,2,4,100,3,30,126,86,9,9,9,9,10,9,"barcelona"
"Entire home/apt",16,3,7,16,280,2,1125,28,80,9,8,9,9,9,8,"valencia"
"Entire home/apt",4,1,2,3,128,7,1125,0,92,9,9,10,10,10,9,"girona"
"Entire home/apt",4,1,2,4,120,4,365,0,92,9,9,10,10,10,9,"madrid"
"Entire home/apt",4,1,1,1,60,3,1125,8,100,10,10,10,10,10,10,"madrid"
"Private room",2,2,2,2,30,2,30,2,100,10,10,10,10,10,10,"barcelona"
"Entire home/apt",12,7,6,6,794,4,1125,1,92,9,9,10,10,10,9,"mallorca"
"Entire home/apt",6,2,4,6,250,3,1125,1,80,10,8,10,10,10,8,"barcelona"
"Entire home/apt",5,2,3,3,75,2,60,176,96,10,10,10,10,9,10,"barcelona"
"Entire home/apt",4,1,1,2,58,2,1125,49,90,9,9,10,10,10,9,"sevilla"
"Private room",1,1,1,1,28,1,1125,132,97,10,10,10,10,10,10,"madrid"
"Entire home/apt",2,1,1,1,349,3,180,2,80,9,10,10,8,10,6,"barcelona"
"Entire home/apt",4,2,2,3,70,1,1125,22,93,10,9,10,10,9,9,"mallorca"
"Entire home/apt",5,2,3,3,63,32,330,0,92,9,9,10,10,10,9,"barcelona"
"Entire home/apt",6,2,3,5,134,1,1125,4,90,9,10,9,10,10,8,"malaga"
